name,family,provenance,ic_1,icir_1,ic_5,ic_20,ic_decay,n_days,ls_sharpe,fold_sharpes,pval,dsr_prob,turnover,pval_pass,verdict,reason,max_corr,delta_sharpe,delta_maxdd,improves_book
pvcorr_21,volume,Qlib Alpha158,-0.0336825139711751,-5.615926542520728,-0.04080713798752232,-0.05147840088067544,-0.04080713798752232,1943,0.19986027140672763,"[1.2902340796667031, -1.4559119224968808, 0.6317317394528621, -0.9189415977053136]",1.9551171348552998e-08,0.01850496573380378,0.019651189473489167,True,REJECTED,negative OOS fold,,,,False
lowbeta_21,beta,Jansen ML4T,0.034785190361393624,4.302636300227719,0.06738873876783316,0.1069938770186663,0.06738873876783316,1943,0.182317730625614,"[0.1649854602349349, -0.009888902193706806, -0.1775616052208292, 0.6794970068470024]",1.6877777777590808e-05,0.017155905089003665,0.022654515125448704,True,REJECTED,negative OOS fold,,,,False
kbar_body_21,kbar,Qlib Alpha158,0.0034957397207212755,0.5404666229989333,0.02355558139386129,0.05931447038879082,0.02355558139386129,1943,0.12852042681866516,"[0.595058437342959, -0.6414266277192381, 0.25124417420034967, -0.5854464460879384]",0.5888752729628395,0.014686309310153745,0.021131176256348624,False,REJECTED,failed FDR,,,,False
spread_ols_126,pairs,Financial-Models notebooks (concept-mined),0.009803070045189786,1.4385339878790726,0.02008550888687625,0.03276122144011448,0.02008550888687625,1713,0.15865942072397254,"[-0.6325733406647918, 0.4476147331286015, -0.13296129861810765, 0.8290049198540561]",0.15028260107074187,0.01458518352083249,0.014571682513427546,False,REJECTED,failed FDR,,,,False
mom_vadj_63,momentum,Jansen ML4T,-0.014461651810366443,-2.1212885946569897,-0.0066364760664671075,-0.008960646175226327,-0.0066364760664671075,1900,0.08955476210782067,"[0.6071475260814848, -0.6724268013294799, 0.6402832986391465, -0.9600364751633906]",0.033897523583462874,0.009940975479133196,0.019489973873830613,True,REJECTED,negative OOS fold,,,,False
px_over_ma_10,trendvalue,in-repo alphas.py,-0.03845138632027564,-5.539905265584922,-0.02107651714197732,0.020120107179625594,-0.02107651714197732,1954,0.014820089690857968,"[0.67671237962362, -0.2304613336817511, -0.3033774130266056, -0.8651408194579838]",3.02635314586297e-08,0.006299022194661608,0.023463274281416625,True,REJECTED,negative OOS fold,,,,False
tsrank_close_21,tsrank,Qlib Alpha158,-0.01557746420072653,-2.502883598983185,-0.0004918595899802817,0.0071499561041774825,-0.0004918595899802817,1932,-0.014633117278319624,"[1.01729182970327, -0.40950675741655745, -0.9937871162939401, -0.5661338994583908]",0.01231860511372962,0.005061014045806389,0.02344660072727751,True,REJECTED,negative OOS fold,,,,False
kbar_body_5,kbar,Qlib Alpha158,-0.027529372092286862,-4.395304022442292,-0.005306357970432375,0.023665438496388837,-0.005306357970432375,1959,-0.050060169512189924,"[1.215250966707566, -1.6930669042347837, -0.15479766008194892, -0.5913266157644358]",1.1061782427601585e-05,0.004041201806686545,0.021246432327624416,True,REJECTED,negative OOS fold,,,,False
kbar_closepos_5,kbar,Qlib Alpha158,-0.00944927814984809,-1.5421622314013446,0.008887093432302363,0.03371609573459428,0.008887093432302363,1959,-0.07016140574312416,"[1.6707259969138286, -1.563505693159884, 0.11582500604201265, -1.9859444377689748]",0.12303417548797713,0.0035210872950453553,0.019450720952701547,False,REJECTED,failed FDR,,,,False
mom_10,momentum,Qlib Alpha158,-0.03826939666007897,-5.454774247324484,-0.019115076676740846,0.012883553163953277,-0.019115076676740846,1953,-0.0891674749457101,"[0.736838858188554, -0.8821570038402402, -0.6394886381257138, -1.09158873371703]",4.9035101978844864e-08,0.002570155259209228,0.02275735027829558,True,REJECTED,negative OOS fold,,,,False
tsrank_close_10,tsrank,Qlib Alpha158,-0.022003793384894204,-3.504799013958056,-0.012400234630041761,0.0058485527001826765,-0.012400234630041761,1924,-0.12361342236249166,"[1.2429346028568298, -0.3601492844239673, -1.9235964893281905, -0.13187861313328897]",0.00045695210897456207,0.0024835622339061114,0.02421124759172548,True,REJECTED,negative OOS fold,,,,False
pvcorr_63,volume,Qlib Alpha158,-0.03566495814935057,-6.037969418746404,-0.044804826192366004,-0.06138596114728852,-0.044804826192366004,1901,-0.22109123238284997,"[1.589014489630418, -0.3199009382431769, -0.5164776490156695, -2.6139757493739784]",1.5606562708825322e-09,0.0012330958207674159,0.018138296974529646,True,REJECTED,negative OOS fold,,,,False
lowvol_21,volatility,Jansen ML4T,0.07114525635668616,8.524110761018651,0.08816117892016775,0.12377828123204496,0.08816117892016775,1943,-0.26806752815552,"[-0.2410383792885568, 0.5573242791538185, -1.7559409394704537, 0.1921545676126094]",0.0,0.0011907923100835105,0.024733232982147964,True,REJECTED,negative OOS fold,,,,False
pvcorr_10,volume,Qlib Alpha158,-0.03879529516497583,-6.531799360178864,-0.04850547331970792,-0.04806488886641872,-0.04850547331970792,1954,-0.2971251831468916,"[1.1412220096502996, -1.2693267070287122, -0.3814399990822706, -2.1571651304031794]",6.498424021117444e-11,0.0007273137042474453,0.01987254750357678,True,REJECTED,negative OOS fold,,,,False
kbar_downshadow_21,kbar,Qlib Alpha158,0.0176927508495963,3.0109026266863173,0.013892081828212466,0.0023315412742676077,0.013892081828212466,1943,-0.507495517264636,"[0.00784303641806915, -0.7178377094282926, -0.9709235434559041, -1.3531958185249096]",0.002604723668404585,0.0006066936417394864,0.01818478231711628,True,REJECTED,negative OOS fold,,,,False
maxret_63,lottery,Jansen ML4T,0.05728681486762291,7.983823763027278,0.07245211127799518,0.10669006220420324,0.07245211127799518,1901,-0.33993423308444,"[-1.9162953275013839, 1.3700174328326544, -1.0039103881748626, 0.7823350687434354]",1.3322676295501878e-15,0.00041569926074136454,0.02044206627912928,True,REJECTED,negative OOS fold,,,,False
lowvol_63,volatility,Jansen ML4T,0.07117882983461694,8.399947263718591,0.09236162167202079,0.1362189774930781,0.09236162167202079,1901,-0.39170019874079903,"[-1.921607909287826, 0.9529980133164506, -1.1003033682456662, 0.9577878059512679]",0.0,0.00026381222337040766,0.022988520537127383,True,REJECTED,negative OOS fold,,,,False
maxret_21,lottery,Jansen ML4T,0.058482681617618215,8.01268348759043,0.06708872011393278,0.08671633524025264,0.06708872011393278,1943,-0.6293027690723043,"[-0.42574696127524014, 0.2570468776264133, -2.2944638974546883, -0.3637449746734065]",1.1102230246251565e-15,0.00019028221419853386,0.022915144917045507,True,REJECTED,negative OOS fold,,,,False
volchg_5,volume,Qlib Alpha158,-0.028813792497360022,-4.863924705893369,-0.007423283042330137,0.00620104997984204,-0.007423283042330137,1958,-0.7415284689529393,"[1.3705365347982812, -3.0638976944838854, -2.75900849281982, -2.759336961628617]",1.1508070580923402e-06,0.0001680525521559062,0.02042699319588884,True,REJECTED,negative OOS fold,,,,False
doji_avoid_21,kbar,family lesson,-0.0009195950699579066,-0.15688244002719848,0.008821563815551815,0.014110670748934137,0.008821563815551815,1943,-0.45092522314953726,"[-0.13241435351031328, -0.3593544321279171, -0.992364693174421, -0.5942322711519701]",0.8753374993089862,0.00016535339797801862,0.017167352625269496,False,REJECTED,failed FDR,,,,False
tsmom_sign_28,trendvalue,in-repo alphas.py,-0.005963643181545156,-0.8870116422021915,0.009074257927126328,-0.00929918888622517,0.009074257927126328,1593,-0.5089758383035273,"[-0.6838339249135663, -0.6574381534561643, 0.8250151432611222, -1.2407185550304145]",0.37507263249401346,6.656769601404156e-05,0.020113443089479408,False,REJECTED,failed FDR,,,,False
